Book,Word Count
2 John,314
3 John,336
Philemon,488
Obadiah,661
Jude,661
Titus,964
Haggai,1020
2 Thessalonians,1081
Jonah,1255
Nahum,1280
Habakkuk,1506
Zephaniah,1596
2 Peter,1637
2 Timothy,1701
Malachi,1774
1 Thessalonians,1926
Joel,1988
Colossians,2075
Philippians,2304
1 Timothy,2354
James,2356
1 Peter,2382
Ruth,2492
1 John,2654
The Song of Songs,2963
Micah,3066
Ephesians,3145
Galatians,3292
Lamentations,3427
Amos,4136
Hosea,5295
Ecclesiastes,5528
Esther,5569
Zechariah,6099
2 Corinthians,6549
Ezra,6799
Hebrews,6917
1 Corinthians,9508
Romans,9576
Nehemiah,9962
Daniel,11136
Revelation,12094
Mark,14096
Proverbs,15224
Joshua,15656
Judges,16639
1 Chronicles,18001
Job,18045
2 Samuel,19138
John,19534
2 Kings,20932
1 Kings,21225
Matthew,22570
2 Chronicles,22587
1 Samuel,23487
Acts,23933
Leviticus,23941
Luke,24961
Deuteronomy,25685
Numbers,30461
Exodus,31296
Isaiah,35103
Genesis,35960
Ezekiel,36360
Psalms,42009
Jeremiah,46012

